Datum;Grund der Ausgabe;Betrag
31.03.2025;Kontoführungsgebühren;-7,10 €
31.03.2025;Überweisungskosten;-30,00 €
12.03.2025;1&1 Internetkosten;-21,62 €
04.03.2025;Überweisungskosten;-30,00 €
28.02.2025;Kontoführungsgebühren;-5,00 €
12.02.2025;1&1 Internetkosten;-15,14 €
31.01.2025;Kontoführungsgebühren;-5,00 €
29.01.2025;Überweisungskosten;-30,00 €
14.01.2025;1&1 Internetkosten;-15,14 €
30.12.2024;Überweisungskosten;-30,00 €
30.12.2024;Kontoführungsgebühren;-8,30 €
12.12.2024;1&1 Internetkosten;-15,14 €
02.12.2024;Rückbuchung Kosten;-9,00 €
29.11.2024;Überweisungskosten;-30,00 €
29.11.2024;Kontoführungsgebühren;-5,00 €
12.11.2024;1&1 Internetkosten;-15,14 €
31.10.2024;Rückbuchung Kosten;-4,00 €
31.10.2024;Kontoführungsgebühren;-6,80 €
30.10.2024;Überweisungskosten;-30,00 €
14.10.2024;1&1 Internetkosten;-15,14 €
01.10.2024;Überweisungskosten;-30,00 €
30.09.2024;Kontoführungsgebühren;-5,00 €
17.09.2024;Überweisungskosten;-30,00 €
12.09.2024;1&1 Internetkosten;-15,14 €
02.09.2024;Konto Auflösung;-9,00 €
02.09.2024;Retoure: Widerspruch;-139,00 €
30.08.2024;Kontoführungsgebühren;-5,00 €
13.08.2024;1&1 Internetkosten;-15,14 €
31.07.2024;5. Brunnen - Abschlusszahlung;-30,00 €
31.07.2024;Kontoführungsgebühren;-5,70 €
12.07.2024;1&1 Internetkosten;-15,14 €
30.06.2024;Kontoführungsgebühren;-5,00 €
28.06.2024;Überweisungskosten;-30,00 €
12.06.2024;1&1 Internetkosten;-15,14 €
31.05.2024;Kontoführungsgebühren;-6,20 €
31.05.2024;Konto Auflösung;-9,00 €
21.05.2024;Überweisungskosten;-30,00 €
30.04.2024;Kontoführungsgebühren;-5,80 €
29.04.2024;Überweisungskosten;-30,00 €
12.04.2024;Girocard;-12,00 €
12.04.2024;1&1 Internetkosten;-15,14 €
08.04.2024;Überweisungskosten;-60,00 €
08.04.2024;Überweisungskosten;-3,90 €
